FIPS,recent_trend,prediction_trend,O3_max_pred,PM25_max_pred
21145,stable,stable,42.34617233385488,12.389980551144143
21147,stable,stable,42.709777163113635,11.529750643849011
21149,stable,stable,42.51792641521612,13.161184911402307
21151,stable,stable,41.86215761725015,12.348409413260317
21153,rising,rising,40.997286552708786,11.36065286915705
21155,stable,stable,42.40136707451594,12.229362213182084
21157,stable,stable,42.344590556229214,12.108385920985723
21159,stable,stable,40.70959742851554,11.593178094660669
21161,stable,stable,41.1395841867788,12.444976200860552
21163,stable,stable,42.54060357793858,12.985968248386465
21165,stable,stable,40.70438134832779,11.303665821631135
21167,stable,stable,41.87239058282808,12.400817749462156
21169,stable,stable,42.72445407314688,11.967244840993546
21171,stable,stable,43.06640737218854,11.893656212399765
21173,stable,stable,41.0328377451594,12.090577549775082
21175,stable,stable,41.13669958576178,11.371228360258165
21177,stable,stable,43.21133928378643,12.715164551339722
21179,stable,stable,42.444471907295124,12.700127301584196
21181,stable,stable,40.680505324271465,12.058779619792686
21183,stable,stable,42.999688456092315,12.93371775826325
21185,stable,stable,42.038361692548406,13.880016549579503
21187,stable,stable,41.03324189184432,12.45855664873851
21189,stable,stable,40.863564667514176,11.096239803246627
21191,stable,stable,40.89425004674359,12.450158224525719
21193,falling,falling,42.24820071249756,11.397127279288089
21195,stable,stable,42.1564366876589,11.806721818697438
21197,stable,stable,40.82834685292392,11.489148234500293
21199,stable,stable,42.45653146724037,12.051828529825935
21201,stable,stable,40.47019552708782,11.954787872677487
21203,stable,stable,41.69405941795423,11.657278263641697
21205,stable,stable,41.08648104850381,11.572215489340897
21207,stable,stable,42.34046290436143,11.753967967338157
21209,stable,stable,40.55285060727557,12.812874680031292
21211,stable,stable,42.04645864991199,12.99197450146685
21213,stable,stable,42.85203157402699,12.295241025425387
21215,stable,stable,41.66419974965773,12.729127664384901
21217,stable,stable,42.24458752258948,11.985382505574027
21219,stable,stable,43.23409194073929,12.30270805339331
21221,stable,stable,42.81283281732838,11.777039595345197
21223,stable,stable,41.28146369822022,12.871042771562683
21225,stable,stable,42.08351320829259,12.616409542538628
21227,stable,stable,43.146960911793464,12.647583561509876
21229,stable,stable,42.06173613788383,12.233399710932916
21231,stable,stable,42.67035631703501,11.575215965186779
21233,stable,stable,42.41577809270487,12.818222723841188
21235,stable,stable,42.78889140367691,11.825595270682575
21237,stable,stable,40.69764037492666,11.12889683121455
21239,stable,stable,40.9667766974379,12.777567440445921
22101,stable,stable,42.974055250929005,10.291934966164678
22103,stable,stable,45.14334108292588,10.411473940934872
22105,stable,stable,44.74109978329748,10.536989941521611
22107,stable,stable,40.736669473303344,10.174728233326814
22109,stable,stable,44.62622601975357,10.327005641306474
22111,stable,stable,40.38803421631137,11.090783342851555
22113,stable,stable,42.86030305339331,10.280567366516722
22115,stable,stable,41.17532845961275,10.152292478584002
22117,stable,stable,42.55283688382554,10.375068448269117
22119,stable,stable,42.012436311949934,10.858668762566008
22121,stable,stable,40.97279790885977,12.326874586348522
22123,stable,stable,40.34459002151379,11.053302593584979
22125,stable,stable,42.21223617426169,10.474043635439076
22127,stable,stable,40.19093196772932,10.103494696851163
